email,slug,campaign,sent_at
05358@pdv.gemo.fr,saint-paul-les-romans-parc-saint-paul-centre-commercial,W3,2026-06-10
07frappe_freer@icloud.com,issoire-dessange-coiffeur-issoire,W3,2026-06-09
100draal1@gmail.com,troyes-dessange-coiffeur-troyes,W6-2,2026-06-27
25@dessange-international.com,annonay-dessange-coiffeur-et-institut-annonay,W3,2026-06-10
38biscoiffure@gmail.com,rennes-38-bis-coiffure,W6,2026-06-12
38f.terracol@gmail.com,lyon-dessange-paris,W3,2026-06-04
3pcb10@gmail.com,troyes-le-ptit-coin-du-barbier,W6-2,2026-06-27
56biscoiffeur@gmail.com,saint-pryve-saint-mesmin-56-bis-coiffeur-de-bien-etre,W6,2026-06-17
8emeart.74@gmail.com,annecy-8eme-art,W3,2026-06-13
a.crochu@free.fr,trevoux-atome-crochu,W3,2026-06-09
a.cusin@gmail.com,ferney-voltaire-dessange,W3,2026-06-11
a.giammatteo@orange.fr,romans-sur-isere-dessange-coiffeur-romans-sur-isere,W3,2026-06-13
a.vialcoiffure@gmail.com,roanne-a-vial-coiffure,W3,2026-06-10
a23sophie@gmail.com,villeurbanne-anne-sophie-coiffure,W3,2026-06-09
aaucarre@live.fr,chambost-allieres-a-au-carre,W3,2026-06-09
abacca.coiffeurcreateur@gmail.com,vendome-abacca-coiffeur-createur,W6,2026-06-16
abbes.bensoltane@sfr.fr,cormontreuil-claisse-espace-capillaire-protheses-capillaires-coiffeuse,W6-2,2026-06-23
abdelghani.zidane@gmail.com,strasbourg-seg-sgse,W6-2,2026-06-30
abigailsjala20198@gmail.com,grenoble-dessange-coiffeur-grenoble,W3,2026-06-09
accueilsalonmarco@orange.fr,meylan-salon-marco-meylan,W3,2026-06-09
achacunsonstyle1125@gmail.com,thesee-a-chacun-son-style,W6,2026-06-16
actif.coiffure@yahoo.com,auray-actif-coiffure-auray,W6,2026-06-17
actualite-coiffure@orange.fr,cluses-actualite-coiffure,W3,2026-06-13
acvambiance@gmail.com,laneuveville-devant-nancy-ambiance-coiffeur-visagiste,W6-2,2026-06-30
acveyres@yahoo.fr,moulins-dessange-coiffeur-moulins,W3,2026-06-09
addictr38200@gmail.com,vienne-le-boudoir-daddictr,W3,2026-06-09
adeline.cachet@orange.fr,aix-les-bains-dessange-paris,W3,2026-06-11
adeline.delacroix@orange.fr,epernay-dessange-coiffeur-epernay,W6-2,2026-06-30
adeline.j.coiffure@gmail.com,diemoz-coiffeuse-a-domicile-adeline-j-coiffure-et-maquillage-mariage,W3,2026-06-09
adiaramashop@gmail.com,angers-whelima-hair-shop,W6,2026-06-17
admin@jn-barber.fr,lyon-jn-barber-king,W3,2026-06-10
adresseinfo@nitescence.com,annemasse-nitescence,W3,2026-06-13
adrian.guillaume@gmail.com,saint-avold-berenicewandres-coiffure,W6-2,2026-06-30
aepeche@hotmail.com,saint-etienne-dessange-coiffeur-saint-etienne,W3,2026-06-10
agnel@agencecerf.fr,grenoble-le-grand-salon,W3,2026-06-09
aimy.vhgne@outlook.fr,harly-coiffetco-coiffeur-harly,W6-2,2026-06-30
aixpioline@addict-paris.fr,macon-addict-paris-coiffure,W6-2,2026-06-28
aj.coiffure@orange.fr,les-ponts-de-ce-aj-coiffure,W6,2026-06-17
ajus.tifs@gmail.com,domagne-ajustifs,W6,2026-06-12
akira_nomade@yahoo.com,segre-en-anjou-bleu-akira,W6,2026-06-17
al-45@hotmail.fr,orleans-salon-karleta,W6,2026-06-16
alain.delyon@free.fr,oullins-pierre-benite-b-c-coiffure,W3,2026-06-10
alaindorenlot@gmail.com,angers-acteo-coiffure-rue-de-la-meignanne-coiffeur-coloriste-et-barbier-angers,W6,2026-06-17
alban.maire.socut@gmail.com,contrexeville-marie-boucles,W6-2,2026-06-27
albo.brigitte@gmail.com,quimper-dessange-coiffeur-quimper,W6,2026-06-17
alex.creatif@orange.fr,charmeil-anthony-bouillot-coiffure-bien-etre-charmeil,W3,2026-06-09
alex.mizab@gmail.com,cholet-dessange-coiffeur-cholet,W6,2026-06-17
alexandre.bernasconi@orange.fr,bourg-en-bresse-dessange-coiffeur-bourg-en-bresse,W3,2026-06-09
alexandre.monteil13@gmail.com,angers-barbier-angers-maison-de-coiffure,W6,2026-06-17
alexandre_colas@orange.fr,rozerieulles-l-atelier-d-amelie,W6-2,2026-06-26
alexandremazzola6@gmail.com,montceau-les-mines-mill-n-hair-coiffure-et-barber,W6,2026-06-17
alexandrino_lambardino@hotmail.fr,champagne-au-mont-dor-angelina,W3,2026-06-10
alexisdazin@orange.fr,annecy-dessange-coiffeur-annecy,W3,2026-06-13
alilo.coiffure@gmail.com,cisternes-la-foret-alilo-coiffure,W3,2026-06-09
alix.jab@hotmail.fr,la-croix-en-touraine-accroche-coeur,W6,2026-06-17
alpinecoiffure@hotmail.com,vacheresse-alpine-coiffure,W3,2026-06-13
alpinhair74@gmail.com,passy-alp-in-hair,W3,2026-06-13
amancy-deschamps@saint-algue.com,segny-saint-algue-coiffeur-segny,W3,2026-06-09
amandine.stalgue@gmail.com,chateau-thierry-saint-algue-coiffeur-chateau-thierry,W6-2,2026-06-26
amandineashby54@gmail.com,nancy-dessange-coiffeur-nancy,W6-2,2026-07-01
amar.ghenani@icloud.com,fameck-hair-design-57,W6-2,2026-06-27
ambiance.cannelle.messery@orange.fr,messery-ambiance-cannelle,W3,2026-06-13
ambre.coiffure@gmail.com,blois-ambre-coiffure,W6,2026-06-16
amcoiffureriom@gmail.com,riom-am-coiffure-riom-puy-de-dome,W3,2026-06-09
ameliecoiftallende@outlook.fr,tallende-amelie-coif-coiffure-a-domicile,W3,2026-06-10
amelkr21@hotmail.fr,chalon-sur-saone-dessange-coiffeur-chalon-sur-saone,W6,2026-06-17
aminfreshbarber@gmail.com,annonay-amin-fresh-barber-annonay-coiffeur-et-barbier,W3,2026-06-10
ana.balsat@gmail.com,saint-cergues-studio-7-coiffure-salon-coiffure-a-machilly,W3,2026-06-13
anais.breuillaud@gmail.com,le-palais-l-affriolant,W6,2026-06-17
anais.martouret42380@outlook.fr,estivareilles-espace-beaute-coiffure-institut-et-spa-de-la-grange-aux-abeilles,W3,2026-06-10
ancoiffureesthetique@gmail.com,briollay-an-coiffure-esthetique,W6,2026-06-17
andrecoiffureangerscentre@gmail.com,angers-salon-de-coiffure-andre,W6,2026-06-17
andree.point@bbox.fr,montelimar-dessange-coiffeur-montelimar,W3,2026-06-13
andrezieux-cc@coiffandco.com,macon-coiffetco-coiffeur-macon,W3,2026-06-10
angedermo@gmail.com,saint-marcel-tricopigmentation-et-maquillage-permanent-ange-dermo-bourgogne,W6,2026-06-11
angele.miroir@outlook.fr,troyes-aux-reflets-du-miroir-salon-feminin,W6-2,2026-06-27
angeliquecoiffurevibration@gmail.com,saint-luperce-angelique-coiffure,W6-2,2026-06-28
anjcoiffure@gmail.com,cornas-anj-coiffure,W3,2026-06-10
anlia.mohamed636@gmail.com,voiron-abyba-fashion-boutique,W3,2026-06-09
ann.ccoiffure@hotmail.com,montbrison-ann-c-coiffure,W3,2026-06-09
annasonnic@gmail.com,lorient-anna-sonnic,W6,2026-06-16
annavidelina1@gmail.com,bischwiller-av-coiffeuse-afro,W6-2,2026-06-27
anne-sophie@hello-beaute.com,marcille-robert-hello-beaute,W6,2026-06-16
annemasse-chablais@franckprovost.com,scionzier-franck-provost-coiffeur-scionzier,W3,2026-06-13
annexedecharlotte@gmail.com,bons-en-chablais-lannexe-de-charlotte,W3,2026-06-09
annick.vincelot@orange.fr,le-cheylard-creatif-coiffure-et-perruque-medicale,W3,2026-06-10
ansochedanne@gmail.com,clohars-carnoet-le-salon,W6,2026-06-17
anthony.cardona.pro@gmail.com,lyon-le-106-coiffure-esthetique,W3,2026-06-10
any.rolland@yahoo.fr,pralognan-la-vanoise-any-coiffure,W3,2026-06-11
apparenceforevent@gmail.com,vezeronce-curtin-apparence-4-event,W3,2026-06-09
arebondy@yahoo.com,lyon-hair-pop,W3,2026-06-10
arles-cc@interview.fr,bourg-de-peage-interview-coiffure-bourg-de-peage,W3,2026-06-13
armelleguivarch67@gmail.com,morlaix-en-apparte,W6,2026-06-17
arnaud-fayol@bbox.fr,vichy-dessange-coiffeur-vichy,W3,2026-06-09
artcoiffureboutique@gmail.com,firminy-art-coiffure,W3,2026-06-10
artcoiffuresaulxures@sfr.fr,saulxures-les-nancy-art-coiffure,W6-2,2026-06-30
artdebeaute@yahoo.fr,villeurbanne-art-of-beauty,W3,2026-06-10
artisancoiffeur.paimpol@gmail.com,paimpol-lartisan-coiffeur,W6,2026-06-11
artms@orange.fr,st-chamond-artms-les-artistes-coiffeurs,W3,2026-06-10
artzencoiff211@gmail.com,la-gacilly-artzencoiff-sarl,W6,2026-06-17
asdegache@yahoo.fr,saint-etienne-backstage-coiffure,W3,2026-06-10
asmaquille@gmail.com,vannes-as-maquille,W6,2026-06-13
asteroide325@yahoo.fr,mundolsheim-gueules-damour,W6-2,2026-06-30
atelier.perruquier@gmail.com,ploumagoar-latelier,W6,2026-06-17
atelier27coiffuremixte@outlook.fr,sevremoine-atelier-27-coiffure-mixte,W6-2,2026-06-28
atelier5lamadeleine@gmail.com,angers-latelier-5,W6,2026-06-17
ateliercoiffure18@gmail.com,nancay-atelier-de-coiffure,W6,2026-06-13
atelierdecarole@gmail.com,fontaines-sur-saone-latelier-de-carole,W3,2026-06-10
atelierducheveu49@gmail.com,cholet-latelier-du-cheveu,W6,2026-06-13
atelierjoline@outlook.com,meyzieu-atelier-joline,W3,2026-06-09
ateliersb49@gmail.com,angers-atelier-setb,W6,2026-06-17
atelierstmartin35@gmail.com,bain-de-bretagne-atelier-saint-martin,W6,2026-06-17
aubiere-cournon@franckprovost.com,vichy-franck-provost-coiffeur-cc-carrefour-vichy,W3,2026-06-09
aubiere-cournon@thebarbercompany.fr,montlucon-the-barber-company-coiffeur-montlucon,W3,2026-06-09
auchan@frederic-moreno.com,saint-priest-frederic-moreno,W3,2026-06-10
audrey.rigaudeau17@gmail.com,loire-authion-krys-barber-corne,W6,2026-06-13
audreygayard@free.fr,saint-marcellin-en-forez-evolutif,W3,2026-06-10
audreyguasch@gmail.com,saint-just-saint-rambert-le-carre,W3,2026-06-10
audreyrico@live.fr,saint-restitut-le-327-coiffeur,W3,2026-06-13
audreyscoditti@gmail.com,rouvroy-sur-marne-le-concept,W6-2,2026-06-30
aurelcoiffcorny@yahoo.com,corny-sur-moselle-aurelcoiff,W6-2,2026-06-30
aurelie.braudeau@hotmail.fr,fondettes-crea-chic,W6,2026-06-13
aurelie.robert15@gmail.com,aurillac-le-salon-daurelie,W3,2026-06-10
aurelie45_9@hotmail.fr,saint-denis-lanneray-latelier-daurelie,W6,2026-06-13
aurelie@naecoiffure.com,tarare-nae-coiffure,W3,2026-06-09
ausalondelsa@gmail.com,houx-au-salon-delsa,W6,2026-06-13
auxciseauxdaureplv@gmail.com,portes-les-valence-aux-ciseaux-daure,W3,2026-06-10
avantgardecoiffureannonay@gmail.com,annonay-avantgarde-coiffure,W3,2026-06-10
avermes-cc@franckprovost.com,paray-le-monial-franck-provost-coiffeur-paray-le-monial,W3,2026-06-09
avermes-paris@coiffandco.com,montlucon-coiffetco-coiffeur-montlucon,W3,2026-06-09
avotreimage49@gmail.com,loire-authion-a-votre-image-salon-coiffure-et-sante,W6,2026-06-13
axelle.louys@gmail.com,strasbourg-noon-institut,W6-2,2026-06-30
az.concept.coiffure@gmail.com,grenoble-az-concept,W3,2026-06-09
azzomeyzieu@hotmail.fr,meyzieu-latelier-coiffure-la-beaute-a-360,W3,2026-06-10
b.pauline2608@gmail.com,pleneuf-val-andre-librexpression,W6,2026-06-17
bababababababba@gmail.com,guichen-saint-martin-coiffure,W6,2026-06-12
barangernathalie49@gmail.com,angers-salon-claude,W6,2026-06-12
barbeichdeloches@gmail.com,loches-barbeich-loches-chez-les-astuces-de-laurent,W6,2026-06-16
barber.rouge74@gmail.com,annemasse-barber-rouge-annemasse-coiffure-homme-et-barbier,W3,2026-06-13
barberbigys@gmail.com,saint-germain-des-fosses-bigysbarber,W3,2026-06-09
barberking.nancy@gmail.com,nancy-barber-king,W6-2,2026-06-27
barbershop45290@gmail.com,sully-sur-loire-l-avenue-du-barber,W6,2026-06-17
barbershopcnt@gmail.com,forbach-barberos-barbershop-forbach,W6-2,2026-06-27
barbershopjbs@gmail.com,rennes-jbs-barber-shop,W6,2026-06-17
barberstreet.stjulien74@gmail.com,saint-julien-en-genevois-barbershop-barber-street-saint-julien-en-genevois,W3,2026-06-13
barbier.fer@gmail.com,ajaccio-forvici-e-rasoghju,W6-2,2026-06-28
barbiercoiffure22@gmail.com,sciez-coiffure-barbier,W3,2026-06-09
barth69@msn.com,bourgoin-jallieu-hair-brothers,W3,2026-06-09
baydeu@gmail.com,test-demo-salon-2,W6,2026-06-17
be@beautyhairspa.com,cournon-dauvergne-beauty-hair-spa,W3,2026-06-10
beatricejoubert@orange.fr,saint-paul-les-romans-studio-113,W3,2026-06-13
beauchampdaniel@orange.fr,st-genis-laval-coiffeur-homme-barbier-tant-quil-y-aura-des-hommes,W3,2026-06-10
beaumont.e@wanadoo.fr,doue-la-fontaine-salon-noelya,W6,2026-06-17
beauty.chloe@outlook.com,saint-brieuc-beauty,W6,2026-06-17
beauty.touch-meyzieu@orange.fr,meyzieu-beauty-touch-coiffure,W3,2026-06-10
beautyluxecoiffure@live.fr,cosne-cours-sur-loire-coiffetco-coiffeur-cosne-cours-sur-loire,W6,2026-06-17
beb.gonnot@gmail.com,la-boisse-beranghair,W3,2026-06-09
begoodcoiffure@gmail.com,luisant-begood-coiffure,W6,2026-06-17
beleza.centredebeaute@gmail.com,rennes-beleza-mail-f-mitterrand,W6,2026-06-16
belhairbarber@gmail.com,lyon-belhair-barber,W3,2026-06-09
belina.dossantos@laposte.net,feillens-hair-styl,W3,2026-06-09
belleetbienetre69@gmail.com,serezin-du-rhone-belle-et-bien-etre,W3,2026-06-10
bellegardesurvalserine-cc@saint-algue.com,bourg-en-bresse-saint-algue-coiffeur-bourg-en-bresse,W3,2026-06-09
bellerivesurallier-cc@jeanlouisdavid.com,bellerive-sur-allier-jean-louis-david-coiffeur-bellerive-sur-allier-vichy,W3,2026-06-09
benedicte.gromaire@hotmail.fr,montlouis-sur-loire-lhair-descapade,W6,2026-06-12
benj_robin@yahoo.fr,saint-christophe-du-bois-so-studio-coiffure,W6,2026-06-17
berkan.demir@outlook.fr,sarreguemines-elegance-studio,W6-2,2026-06-30
bernard.scapaticci@gmail.com,limonest-le-salon-limonest,W3,2026-06-12
berthelotcorine@hotmail.fr,monts-epicoiff,W6,2026-06-12
bescondaudrey@gmail.com,saint-martin-des-champs-patrick-cochereau,W6,2026-06-17
besnard.solene1@gmail.com,hillion-le-salon-solene-prothesiste-capillaire-socio-coiffure,W6,2026-06-09
bestafro.lyon@gmail.com,lyon-best-afro,W3,2026-06-10
bestofcoiffurenpp@gmail.com,veigne-best-of-coiffure-veigne,W6,2026-06-13
betty@bespoke-hairsalon.com,annecy-bespoke-hair-salon,W3,2026-06-13
bio.logiccoiffure@gmail.com,angers-bio-logiccoiffure,W6,2026-06-17
blanchard.steph@orange.fr,saint-brieuc-dessange-coiffeur-saint-brieuc,W6,2026-06-17
blandine.perrault@gmail.com,rennes-mademoiselle-b,W6,2026-06-12
blk.coiffure@gmail.com,montauban-de-bretagne-blkcoiffure,W6,2026-06-17
bohemiabymarine@gmail.com,vannes-bohemia-salon-de-coiffure-prive-a-vannes,W6,2026-06-13
boitacouleur@yahoo.fr,auray-la-boite-a-couleurs,W6,2026-06-13
bollene-jeanmoulin@coiffandco.com,bourg-saint-andeol-coiffetco-coiffeur-bourg-saint-andeol,W3,2026-06-09
bonjour@brookelynmeeler.com,lyon-brookelyn-meeler-chez-cl-concept,W3,2026-06-09
bonjour@canvasupersite.fr,aoste-latelier-coiffure-dalex,W3,2026-06-09
bonjour@coiffure-lavigne.fr,rive-de-gier-coiffure-lavigne-rive-de-gier,W3,2026-06-09
bonjour@isabellefuentes.fr,saint-egreve-isabelle-fuentes,W3,2026-06-09
bonjour@lheritagedubarbier.fr,sarrola-carcopino-l-heritage-du-barbier-ajaccio,W3,2026-06-09
bonjour@lheuretranquille.com,tours-lheure-tranquille,W6-2,2026-06-28
bonlieucoiffure@gmail.com,sallenoves-bon-lieu-coiffure,W3,2026-06-09
boubou.nancy1@gmail.com,nancy-bou-bou-salon-de-coiffure-homme-2,W6-2,2026-06-26
bourgenbresse-cc@saint-algue.com,montceau-les-mines-saint-algue-coiffeur-montceau-les-mines,W3,2026-06-10
bourges-cc@saint-algue.com,vierzon-saint-algue-coiffeur-vierzon,W3,2026-06-09
bourgoinjallieu-cc-champaret@saint-algue.com,bourgoin-jallieu-saint-algue-coiffeur-bourgoin-jallieu,W3,2026-06-09
boutaleb.hassane@gmail.com,tours-barbers-time,W6-2,2026-06-28
boutique.soboheme@gmail.com,guebwiller-soboheme,W6-2,2026-06-27
boutique@leshommesdabord.fr,villefranche-sur-saone-les-hommes-dabord-villefranche-sur-saone-coiffeur-homme-b,W3,2026-06-09
brigitte.stephane2@wanadoo.fr,saint-georges-desperanche-1-2-3-styl,W3,2026-06-09
bron-roosevelt@jeanlouisdavid.com,firminy-jean-louis-david-coiffeur-firminy,W3,2026-06-10
bron@frederic-moreno.com,bron-frederic-moreno-coiffure,W3,2026-06-10
brotteaux@frederic-moreno.com,lyon-frederic-moreno-ampere,W3,2026-06-10
brune.blonde49@gmail.com,angers-brune-et-blonde,W6,2026-06-17
brunetcharlene@hotmail.fr,st-chamond-salon-lilou,W3,2026-06-10
bshoplyonnais@gmail.com,lyon-barber-shop-lyonnais,W3,2026-06-10
bulledaircoiffure@gmail.com,trevoux-bulle-dair-home,W3,2026-06-09
bulledequintessence@gmail.com,le-peage-de-roussillon-bulle-de-quintessence,W3,2026-06-09
bulledeshamp@gmail.com,blancs-coteaux-bulle-de-shamp,W6-2,2026-06-27
bulledhair63@gmail.com,clermont-ferrand-bulle-dhair,W3,2026-06-09
bulledhairolivet@gmail.com,olivet-bulle-dhair-olivet,W6,2026-06-17
bureau.sylvann@orange.fr,moulins-tchip-coiffure-moulins,W3,2026-06-09
